Specia,Categoria de diametre,Numar de fire,Volum Unitar
Carpen,14,2,0.099324
Carpen,18,2,0.205095
Cires,10,1,0.038956
Cires,12,3,0.065272
Cires,14,7,0.099152
Cires,16,9,0.140744
Cires,18,10,0.190093
Cires,20,9,0.247156
Cires,22,10,0.311813
Cires,24,9,0.383887
Cires,26,8,0.463147
Cires,28,10,0.549317
Cires,30,9,0.642084
Cires,32,4,0.7411
Cires,34,1,0.84599
Cires,36,1,0.956352
Cires,38,1,1.071763
Fag,10,1,0.027541
Fag,28,1,0.443109
Garnita (S),10,2,0.040739
Garnita (S),12,1,0.072294
Garnita (S),14,3,0.11286
Garnita (S),16,13,0.162189
Garnita (S),18,7,0.220064
Garnita (S),20,7,0.286309
Garnita (S),22,3,0.360781
Garnita (S),24,1,0.443359
Gorun (S),8,1,0.020188
Gorun (S),10,9,0.041474
Gorun (S),12,81,0.072443
Gorun (S),14,337,0.113976
Gorun (S),16,663,0.166559
Gorun (S),18,796,0.230292
Gorun (S),20,752,0.304896
Gorun (S),22,523,0.389722
Gorun (S),24,333,0.48375
Gorun (S),26,187,0.585595
Gorun (S),28,90,0.69351
Gorun (S),30,40,0.805385
Gorun (S),32,14,0.918749
Gorun (S),34,5,1.030762
Gorun (S),36,1,1.138212
Gorun (S),38,5,1.237501
Jugastru,20,1,0.19766
Mojdrean,12,1,0.059357
Stejar rosu,8,1,0.022264
Stejar rosu,16,4,0.155187
Stejar rosu,18,1,0.199659
Stejar rosu,20,2,0.263955
Stejar rosu,22,1,0.367147
Stejar rosu,24,1,0.392092
Stejar rosu,26,2,0.471653
Stejar rosu,28,2,0.538807
Ulm de camp,8,2,0.021033
