Specia,Categoria de diametre,Numar de fire,Volum Unitar
Carpen,6,337,0.012983
Carpen,8,249,0.026773
Carpen,10,119,0.046624
Carpen,12,50,0.073106
Carpen,14,30,0.10672
Carpen,16,18,0.147918
Carpen,18,11,0.197116
Carpen,20,8,0.254703
Carpen,22,1,0.321043
Carpen,24,5,0.396485
Carpen,26,1,0.481359
Carpen,28,2,0.575985
Carpen,30,3,0.68067
Carpen,32,1,0.795711
Carpen,34,1,0.921399
Carpen,36,1,1.058015
Carpen,38,4,1.205834
Carpen,40,4,1.365126
Carpen,46,2,1.91446
Carpen,50,1,2.342769
Carpen,62,1,3.947153
Fag,18,2,0.206051
Fag,20,3,0.282758
Fag,22,10,0.371184
Fag,24,3,0.471254
Fag,26,7,0.582956
Fag,28,13,0.706333
Fag,30,28,0.841463
Fag,32,23,0.988452
Fag,34,40,1.147426
Fag,36,40,1.318526
Fag,38,48,1.501905
Fag,40,26,1.697723
Fag,42,40,1.906147
Fag,44,37,2.127348
Fag,46,28,2.361501
Fag,48,31,2.608783
Fag,50,26,2.869373
Fag,52,19,3.143451
Fag,54,10,3.431198
Fag,56,15,3.732796
Fag,58,7,4.048427
Fag,60,6,4.378272
Fag,62,9,4.722515
Fag,64,2,5.081336
Fag,66,1,5.454917
Fag,68,1,5.84344
Fag,72,1,6.666034
Fag,74,1,7.100465
Fag,78,1,8.016495
Gorun (S),38,1,1.271138
Gorun (S),70,1,5.250607
Gorun (S),78,1,6.475124
Gorun (S),88,1,5.759333
Mojdrean,8,1,0.029735
Mojdrean,10,1,0.048086
Mojdrean,12,1,0.072431
Plop alb,6,1,0.01322
Plop alb,8,5,0.026758
Plop alb,10,1,0.045034
Plop alb,16,1,0.119928
Plop alb,44,1,1.576456
Salcie capreasca,6,1,0.002988
Salcie capreasca,8,8,0.005113
Salcie capreasca,10,6,0.007788
Salcie capreasca,12,3,0.011015
Salcie capreasca,16,3,0.019132
Salcie capreasca,18,3,0.024028
Salcie capreasca,20,2,0.029485
Salcie capreasca,22,1,0.035508
Salcie capreasca,30,1,0.065324
